"TERM DESCRIPTION","TERM","SESSION","SESSION DESCRIPTION","DEPARTMENT","SUBJECT","COURSE","CLASS/SECTION NBR","COURSE DESCRIPTION","INSTRUCTOR NAME","GPA GRADES","TOTAL GRADES","SMALL CLASS NOTATION","AVG SECT GPA","AVG STDNT CUM GPA","PERCENT MAJORS","A%","B%","C%","D%","OTHER GRADES","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","W","WX","I","R","P","S","NY","NR","NC","OTHER","EFFECTIVE DATE"
"SP22","4222","1","Regular Academic Session","CSCI","CSCI-A","348","7135","MASTERING THE WORLD WIDE WEB","German,Dan-Adrian","7","9",""," 3.714"," 3.347","42.9","71.4","28.6","0.0","0.0","2","0","5","0","1","0","1","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","06-10-2022"
"SP22","4222","1","Regular Academic Session","CSCI","CSCI-A","521","5350","COMPUTING TOOLS FOR SCI RESRCH","Lasassmeh,Suha Mubarak Saleem","1","4","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","06-10-2022"
"SP22","4222","1","Regular Academic Session","CSCI","CSCI-A","538","7129","NETWORK TECH & SYSTEMS ADMIN","Whitmer,Jeff","3","4","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","06-10-2022"
"SP22","4222","1","Regular Academic Session","CSCI","CSCI-A","542","10799","TECH FNDATNS OF CYBERSECURITY","Kapadia,Apu","19","20",""," 3.647"," 3.532","0","63.2","36.8","0.0","0.0","1","4","7","1","3","3","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","06-10-2022"
"SP22","4222","1","Regular Academic Session","CSCI","CSCI-A","548","7137","MASTERING THE WORLD-WIDE WEB","German,Dan-Adrian","5","8","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","06-10-2022"
"SP22","4222","8W2","Eight Week - Second","CSCI","CSCI-A","590","6088","TOPICS IN PROGRAMMING","Whitmer,Jeff","3","5","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","06-10-2022"
"SP22","4222","8W1","Eight Week - First","CSCI","CSCI-A","590","7124","TOPICS IN PROGRAMMING","Whitmer,Jeff","2","2","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","06-10-2022"
"SP22","4222","8W2","Eight Week - Second","CSCI","CSCI-A","590","7125","TOPICS IN PROGRAMMING","Whitmer,Jeff","1","2","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","06-10-2022"
"SP22","4222","8W1","Eight Week - First","CSCI","CSCI-A","590","7126","TOPICS IN PROGRAMMING","Whitmer,Jeff","1","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","06-10-2022"
"SP22","4222","8W2","Eight Week - Second","CSCI","CSCI-A","590","7134","TOPICS IN PROGRAMMING","Maidi,Chabane","2","2","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","06-10-2022"
"SP22","4222","1","Regular Academic Session","CSCI","CSCI-A","591","5272","INTRO TO COMPUTER SCIENCE","Shan,Chung-chieh","2","2","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","06-10-2022"
"SP22","4222","1","Regular Academic Session","CSCI","CSCI-A","592","1842","INTRO TO SOFTWARE SYSTEMS","Siddiqui,Muazzam Ahmed","1","3","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","06-10-2022"
"SP22","4222","1","Regular Academic Session","CSCI","CSCI-A","592","5457","INTRO TO SOFTWARE SYSTEMS","Siddiqui,Muazzam Ahmed","1","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","06-10-2022"
"SP22","4222","1","Regular Academic Session","CSCI","CSCI-A","593","1845","COMPUTER STRUCTURES","Malbasa,Vel","1","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","06-10-2022"
"SP22","4222","1","Regular Academic Session","CSCI","CSCI-A","594","1847","DATA STRUCTURES","Tiganj,Zoran","2","5","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","06-10-2022"
"SP22","4222","1","Regular Academic Session","CSCI","CSCI-A","596","1848","PROGRAMMING LANGUAGES","Friedman,Daniel P","0","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","06-10-2022"
"SP22","4222","1","Regular Academic Session","CSCI","CSCI-A","597","29752","INTRODUCTION TO PROGRAMMING I","Hmeljak,Mitja","0","2","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","06-10-2022"
"SP22","4222","1","Regular Academic Session","CSCI","CSCI-A","597","4556","INTRODUCTION TO PROGRAMMING I","Hmeljak,Mitja","5","5","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","06-10-2022"
"SP22","4222","1","Regular Academic Session","CSCI","CSCI-B","351","7156","INTRO ARTIFICIAL INTELLIGENCE","Rawlins,Gregory J.e.","74","96",""," 3.130"," 3.263","68.6","36.5","51.4","4.1","4.1","25","3","10","14","17","16","5","2","1","0","2","1","0","3","12","10","0","0","0","0","0","0","0","0","06-10-2022"
"SP22","4222","1","Regular Academic Session","CSCI","CSCI-B","355","30893","AUTONOMOUS ROBOTICS","Beer,Randall D","16","21",""," 3.669"," 3.646","47.1","68.8","31.3","0.0","0.0","5","4","4","3","3","1","1","0","0","0","0","0","0","0","0","4","1","0","0","0","0","0","0","0","06-10-2022"
"SP22","4222","1","Regular Academic Session","CSCI","CSCI-B","365","9078","DATA ANALYSIS AND MINING","Kurban,Hasan","33","45",""," 3.376"," 3.220","51.3","57.6","27.3","12.1","3.0","12","7","9","3","2","6","1","0","3","1","1","0","0","0","6","6","0","0","0","0","0","0","0","0","06-10-2022"
"SP22","4222","1","Regular Academic Session","CSCI","CSCI-B","365","9079","DATA ANALYSIS AND MINING","Kurban,Hasan","26","45",""," 3.169"," 3.002","61","57.7","26.9","3.8","0.0","22","5","7","3","1","5","1","1","0","0","0","0","0","3","15","4","0","0","0","0","0","0","0","0","06-10-2022"
"SP22","4222","1","Regular Academic Session","CSCI","CSCI-B","392","35123","COMPETITIVE PROGRAMMING","Huang,Yan","4","4","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","06-10-2022"
"SP22","4222","1","Regular Academic Session","CSCI","CSCI-B","401","6818","FUNDAMENTALS OF COMPUTG THEORY","Wennstrom,Erik Michael","24","36",""," 2.608"," 3.321","73.5","20.8","33.3","33.3","8.3","13","1","2","2","6","1","1","1","3","4","2","0","0","1","10","2","0","0","0","0","0","0","0","0","06-10-2022"
"SP22","4222","1","Regular Academic Session","CSCI","CSCI-B","403","7548","INTRO ALGORITHM DES & ANALYS","Zhang,Qin","46","53",""," 2.957"," 3.408","88","28.3","45.7","19.6","6.5","7","2","5","6","11","6","4","1","6","2","0","3","0","0","4","3","0","0","0","0","0","0","0","0","06-10-2022"
"SP22","4222","1","Regular Academic Session","CSCI","CSCI-B","433","8599","SECURE PROTOCOLS","Liao,Xiaojing","19","20",""," 3.795"," 3.263","100","89.5","5.3","5.3","0.0","1","9","6","2","0","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","06-10-2022"
"SP22","4222","1","Regular Academic Session","CSCI","CSCI-B","441","10033","DIGITAL DESIGN","Lukefahr,Andrew","5","5","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","06-10-2022"
"SP22","4222","1","Regular Academic Session","CSCI","CSCI-B","453","10328","GAME DEVELOPMENT","Maidi,Chabane","26","27",""," 3.731"," 3.268","96.2","84.6","7.7","3.8","3.8","1","2","19","1","1","1","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","06-10-2022"
"SP22","4222","1","Regular Academic Session","CSCI","CSCI-B","455","8078","PRINCIPLES OF MACHINE LEARNING","Tang,Haixu","55","74",""," 3.249"," 3.367","67.6","45.5","47.3","0.0","1.8","22","2","9","14","16","8","2","0","0","0","0","0","1","3","13","6","0","0","0","0","0","0","0","0","06-10-2022"
"SP22","4222","1","Regular Academic Session","CSCI","CSCI-B","456","8612","IMAGE PROCESSING","Garyfallidis,Eleftherios","8","9",""," 2.788"," 3.251","88.9","12.5","50.0","37.5","0.0","1","0","1","0","1","3","0","1","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","06-10-2022"
"SP22","4222","1","Regular Academic Session","CSCI","CSCI-B","457","14136","INTRO TO COMPUTER VISION","Zhang,Xuhong","31","33",""," 3.158"," 3.383","72.7","51.6","29.0","9.7","9.7","2","2","3","11","5","1","3","2","0","1","1","2","0","0","2","0","0","0","0","0","0","0","0","0","06-10-2022"
"SP22","4222","1","Regular Academic Session","CSCI","CSCI-B","490","31035","SEMINAR IN COMPUTER SCIENCE","Chia,Nai Hui","4","14","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","06-10-2022"
"SP22","4222","1","Regular Academic Session","CSCI","CSCI-B","505","8601","APPLIED ALGORITHMS","Kulekci,Oguzhan","95","106",""," 3.646"," 3.519","45.3","60.0","38.9","1.1","0.0","11","16","28","13","31","5","1","1","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","06-10-2022"
"SP22","4222","1","Regular Academic Session","CSCI","CSCI-B","522","30915","PROGRMG LANGUAGE FOUNDATIONS","Tobin-Hochstadt,Sam","9","11",""," 3.933"," 3.669","80","100.0","0.0","0.0","0.0","2","0","7","2","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","06-10-2022"
"SP22","4222","1","Regular Academic Session","CSCI","CSCI-B","534","9945","DISTRIBUTED SYSTEMS","Sharma,Prateek","8","14",""," 3.713"," 3.820","100","75.0","25.0","0.0","0.0","6","3","0","3","2","0","0","0","0","0","0","0","0","0","1","5","0","0","0","0","0","0","0","0","06-10-2022"
"SP22","4222","1","Regular Academic Session","CSCI","CSCI-B","541","10031","HARDWARE SYSTEM DESIGN I","Lukefahr,Andrew","3","4","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","06-10-2022"
"SP22","4222","1","Regular Academic Session","CSCI","CSCI-B","547","10344","SYST&PROTOCOL SECUR&INFO ASSUR","Liao,Xiaojing","35","50",""," 3.883"," 3.763","100","94.3","5.7","0.0","0.0","15","13","14","6","0","1","1","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","06-10-2022"
"SP22","4222","1","Regular Academic Session","CSCI","CSCI-B","561","36150","ADVANCED DATABASE CONCEPTS","Siddiqui,Muazzam Ahmed","76","97",""," 3.175"," 3.500","27.3","39.5","46.1","7.9","1.3","25","7","15","8","18","14","3","5","1","0","0","0","1","4","0","20","1","0","0","0","0","0","0","0","06-10-2022"
"SP22","4222","1","Regular Academic Session","CSCI","CSCI-B","561","9499","ADVANCED DATABASE CONCEPTS","Van Gucht,Dirk","31","72",""," 3.348"," 3.499","26.5","71.0","16.1","3.2","0.0","44","2","14","6","2","2","1","1","0","0","0","0","0","3","2","38","0","0","0","0","0","0","1","0","06-10-2022"
"SP22","4222","1","Regular Academic Session","CSCI","CSCI-B","565","30916","DATA MINING","Raphael,Christopher S.","36","60",""," 3.117"," 3.543","41.7","44.4","36.1","19.4","0.0","24","2","8","6","0","2","11","1","6","0","0","0","0","0","0","24","0","0","0","0","0","0","0","0","06-10-2022"
"SP22","4222","1","Regular Academic Session","CSCI","CSCI-B","565","36025","DATA MINING","Raphael,Christopher S.","15","30",""," 2.680"," 3.261","81.3","13.3","53.3","33.3","0.0","15","0","2","0","0","2","6","0","5","0","0","0","0","0","1","14","0","0","0","0","0","0","0","0","06-10-2022"
"SP22","4222","1","Regular Academic Session","CSCI","CSCI-B","565","36816","DATA MINING","Ye,Yuzhen","138","167",""," 3.126"," 3.508","68.3","30.4","52.2","17.4","0.0","29","6","17","19","25","27","20","14","8","2","0","0","0","0","1","28","0","0","0","0","0","0","0","0","06-10-2022"
"SP22","4222","1","Regular Academic Session","CSCI","CSCI-B","590","36148","TOPICS IN COMPUTER SCIENCE","Blanco Rodriguez,Saul Antonio","2","5","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","06-10-2022"
"SP22","4222","1","Regular Academic Session","CSCI","CSCI-B","590","37122","TOPICS IN COMPUTER SCIENCE","Sayyed,Zeeshan Ali","7","9",""," 3.443"," 3.532","14.3","57.1","42.9","0.0","0.0","2","1","0","3","0","3","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","06-10-2022"
"SP22","4222","1","Regular Academic Session","CSCI","CSCI-B","609","35125","TPCS ALGORITHMS & COMP THEORY","Huang,Yan","18","40",""," 3.606"," 3.655","100","55.6","44.4","0.0","0.0","22","2","5","3","7","0","1","0","0","0","0","0","0","0","0","22","0","0","0","0","0","0","0","0","06-10-2022"
"SP22","4222","1","Regular Academic Session","CSCI","CSCI-B","629","36029","TPCS IN PROGRAMMING LANGUAGES","Chia,Nai Hui","7","13",""," 3.529"," 3.513","57.1","71.4","14.3","14.3","0.0","6","0","5","0","0","0","1","0","1","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","06-10-2022"
"SP22","4222","1","Regular Academic Session","CSCI","CSCI-B","649","8465","TOPICS IN SYSTEMS","Marru,Suresh","58","83",""," 3.953"," 3.796","86.4","100.0","0.0","0.0","0.0","25","12","37","9","0","0","0","0","0","0","0","0","0","0","1","24","0","0","0","0","0","0","0","0","06-10-2022"
"SP22","4222","1","Regular Academic Session","CSCI","CSCI-B","657","35130","COMPUTER VISION","Crandall,David","31","43",""," 3.794"," 3.709","35.1","77.4","22.6","0.0","0.0","12","1","18","5","7","0","0","0","0","0","0","0","0","0","1","6","1","0","0","0","0","0","4","0","06-10-2022"
"SP22","4222","1","Regular Academic Session","CSCI","CSCI-B","657","35612","COMPUTER VISION","Crandall,David","78","95",""," 3.853"," 3.682","45.6","91.0","9.0","0.0","0.0","17","9","44","18","3","4","0","0","0","0","0","0","0","0","1","16","0","0","0","0","0","0","0","0","06-10-2022"
"SP22","4222","1","Regular Academic Session","CSCI","CSCI-B","659","11213","TOPICS ARTIFICIAL INTELLIGENCE","Khardon,Roni","19","22",""," 3.216"," 3.727","45","57.9","26.3","5.3","5.3","4","3","4","4","1","2","2","1","0","0","1","0","0","1","0","2","0","0","0","0","0","0","1","0","06-10-2022"
"SP22","4222","1","Regular Academic Session","CSCI","CSCI-B","659","12974","TOPICS ARTIFICIAL INTELLIGENCE","Leake,David B.","24","35",""," 3.958"," 3.812","76.9","95.8","4.2","0.0","0.0","11","0","23","0","0","1","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","2","0","06-10-2022"
"SP22","4222","1","Regular Academic Session","CSCI","CSCI-B","659","5230","TOPICS ARTIFICIAL INTELLIGENCE","Wang,Yijie","5","9","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","06-10-2022"
"SP22","4222","1","Regular Academic Session","CSCI","CSCI-B","659","6964","TOPICS ARTIFICIAL INTELLIGENCE","Sayyed,Zeeshan Ali","5","14","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","06-10-2022"
"SP22","4222","13W","Thirteen Week","CSCI","CSCI-C","102","8596","GREAT IDEAS IN COMPUTING","Pope,Charles E","9","14",""," 2.411"," 2.812","0","55.6","0.0","11.1","0.0","8","1","3","1","0","0","0","0","1","0","0","0","0","3","2","3","0","0","0","0","0","0","0","0","06-10-2022"
"SP22","4222","1","Regular Academic Session","CSCI","CSCI-C","200","31080","INTRO COMPUTERS & PROGRAMMING","Dalkilic,Mehmet M.","48","62",""," 3.035"," 3.192","10","60.4","14.6","4.2","16.7","16","8","18","3","0","3","4","1","0","1","1","2","5","2","11","2","1","0","0","0","0","0","0","0","06-10-2022"
"SP22","4222","1","Regular Academic Session","CSCI","CSCI-C","200","31081","INTRO COMPUTERS & PROGRAMMING","Dalkilic,Mehmet M.","49","64",""," 2.957"," 3.049","8.5","51.0","20.4","14.3","6.1","19","5","16","4","3","3","4","2","3","2","0","1","2","4","10","5","0","0","0","0","0","0","0","0","06-10-2022"
"SP22","4222","1","Regular Academic Session","CSCI","CSCI-C","200","8044","INTRO COMPUTERS & PROGRAMMING","Wennstrom,Erik Michael","36","54",""," 3.156"," 3.130","12.2","61.1","13.9","16.7","2.8","20","7","11","4","0","4","1","1","1","4","0","1","0","2","13","5","0","0","0","0","0","0","0","0","06-10-2022"
"SP22","4222","1","Regular Academic Session","CSCI","CSCI-C","200","9511","INTRO COMPUTERS & PROGRAMMING","Wennstrom,Erik Michael","14","20",""," 3.186"," 3.013","26.3","64.3","7.1","14.3","7.1","7","1","8","0","0","1","0","1","1","0","1","0","0","1","5","1","0","0","0","0","0","0","0","0","06-10-2022"
"SP22","4222","1","Regular Academic Session","CSCI","CSCI-C","211","5877","INTRO TO COMPUTER SCIENCE","Shan,Chung-chieh","19","47",""," 2.511"," 2.832","14.6","42.1","15.8","15.8","5.3","32","2","4","2","0","2","1","1","2","0","1","0","0","4","22","6","0","0","0","0","0","0","0","0","06-10-2022"
"SP22","4222","1","Regular Academic Session","CSCI","CSCI-C","212","1850","INTRO TO SOFTWARE SYSTEMS","Siddiqui,Muazzam Ahmed","72","80",""," 3.039"," 3.111","46.8","43.1","33.3","15.3","2.8","12","10","9","12","10","11","3","4","3","4","1","1","0","4","6","1","1","0","0","0","0","0","0","0","06-10-2022"
"SP22","4222","1","Regular Academic Session","CSCI","CSCI-C","212","5458","INTRO TO SOFTWARE SYSTEMS","Siddiqui,Muazzam Ahmed","92","110",""," 3.034"," 3.284","46.2","45.7","31.5","10.9","5.4","24","17","15","10","9","14","6","6","3","1","1","2","2","6","14","4","0","0","0","0","0","0","0","0","06-10-2022"
"SP22","4222","1","Regular Academic Session","CSCI","CSCI-C","241","1853","DISCRETE STRUCTURES FOR CSCI","Ashraf,Nazim","90","100",""," 3.054"," 3.324","56","45.6","26.7","20.0","5.6","12","21","12","8","10","8","6","5","5","8","2","1","2","2","9","0","1","0","0","0","0","0","0","0","06-10-2022"
"SP22","4222","1","Regular Academic Session","CSCI","CSCI-C","241","7139","DISCRETE STRUCTURES FOR CSCI","Ashraf,Nazim","77","95",""," 2.843"," 3.139","50","41.6","26.0","16.9","5.2","26","13","16","3","5","8","7","7","4","2","3","1","0","8","15","3","0","0","0","0","0","0","0","0","06-10-2022"
"SP22","4222","1","Regular Academic Session","CSCI","CSCI-C","291","34800","SYSTEM PROG WITH C AND UNIX","Seiffert,Kurt A","17","23",""," 3.535"," 3.202","63.6","64.7","29.4","5.9","0.0","6","3","3","5","2","3","0","0","1","0","0","0","0","0","5","1","0","0","0","0","0","0","0","0","06-10-2022"
"SP22","4222","1","Regular Academic Session","CSCI","CSCI-C","291","34801","SYSTEM PROG WITH C AND UNIX","Seiffert,Kurt A","28","41",""," 3.250"," 3.250","52.6","46.4","35.7","14.3","3.6","13","5","3","5","7","0","3","3","0","1","0","0","1","0","9","3","1","0","0","0","0","0","0","0","06-10-2022"
